Cycle,Calculation time [ms],LHand x[m],LHand y[m],LHand z[m],RHand x[m],RHand y[m],RHand z[m],LShoulder x[m],LShoulder y[m],LShoulder z[m],RShoulder x[m],RShoulder y[m],RShoulder z[m],LElbow x[m],LElbow y[m],LElbow z[m],RElbow x[m],RElbow y[m],RElbow z[m],LHand x[m],LHand y[m],LHand z[m],RHand x[m],RHand y[m],RHand z[m],Body x[m],Body y[m],Body z[m],cur Angle1[rad],cur Angle2[rad],des Angle1[rad],des Angle2[rad],cur Anvel1[rad/s],cur Anvel2[rad/s],des Anvel1[rad/s],des Anvel2[rad/s],cur Anacc1[rad/s2],cur Anacc2[rad/s2],des Anacc1[rad/s2],des Anacc2[rad/s2],DelPos x [m],DelPos y [m]
0,5.46791,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,1.57076,-3.14145,1.57076,-3.14145,0,0,0,0,0,0,0,0,-10000.3,-9999.65,
1,5.41394,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,1.57076,-3.14145,1.57076,-3.14145,0,0,0,0,0,0,0,0,-10000.3,-9999.65,
2,6.64261,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,1.57076,-3.14145,1.57076,-3.14145,0,0,0,0,0,0,0,0,-10000.3,-9999.65,
3,6.66346,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,1.57076,-3.14145,1.57076,-3.14145,0,0,0,0,0,0,0,0,-10000.3,-9999.65,
4,6.66048,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,1.57076,-3.14145,1.57076,-3.14145,0,0,0,0,0,0,0,0,-10000.3,-9999.65,
5,6.68929,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,1.57076,-3.14145,1.57076,-3.14145,0,0,0,0,0,0,0,0,-10000.3,-9999.65,
6,6.65055,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,1.57076,-3.14145,1.57076,-3.14145,0,0,0,0,0,0,0,0,-10000.3,-9999.65,
7,6.64194,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,1.57076,-3.14145,1.57076,-3.14145,0,0,0,0,0,0,0,0,-10000.3,-9999.65,
8,6.65585,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,1.57076,-3.14145,1.57076,-3.14145,0,0,0,0,0,0,0,0,-10000.3,-9999.65,
9,6.93926,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,1.57076,-3.14145,1.57076,-3.14145,0,0,0,0,0,0,0,0,-10000.3,-9999.65,
